threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
attack,not,knife,centerville,GA,32.6261552,-83.6992134,48.0,male,W,False,False,2021,1245,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,not,gun,hudson,FL,28.3984726,-82.6597793,74.0,male,W,True,True,2021,1246,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
move,foot,unarmed,sylvania township,OH,41.7107672,-83.6655399,24.0,male,H,False,False,2021,1247,0,0,0,0,0,1,0,H,0,0,0,0,1,0,0
point,not,gun,chaves county,NM,Unknown/Missing,Unknown/Missing,31.0,male,H,False,False,2021,1249,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
shoot,foot,gun,tucson,AZ,Unknown/Missing,Unknown/Missing,42.0,male,W,False,False,2021,1250,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,anderson,IN,40.0872987,-85.6804727,60.0,male,W,True,False,2021,1252,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,foot,knife,jacksonville,MO,Unknown/Missing,Unknown/Missing,44.0,male,,False,False,2021,1253,0,1,0,0,0,0,0,NAN,0,0,0,0,0,0,1
point,car,gun,stillwater county,MT,Unknown/Missing,Unknown/Missing,41.0,male,W,False,False,2021,1254,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
undetermined,not,undetermined,charlotte,NC,Unknown/Missing,Unknown/Missing,32.0,male,B,False,False,2021,1255,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
threat,car,gun,fremont,CA,37.551578,-122.0513987,34.0,male,H,False,True,2021,1256,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,not,gun,forest park,IL,41.879808,-87.8082214,35.0,male,B,False,False,2021,1257,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
